epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1057.06,1.22524,2.60818,1.54254,0.4726,0.42433,0.41163,0.23582,1.35599,2.80173,1.80517,0.000369428,0.000369428,0.000369428
2,2109.15,1.28436,2.18638,1.57715,0.48268,0.41778,0.41356,0.21783,1.45575,2.35591,1.88392,0.000725114,0.000725114,0.000725114
3,3152.47,1.30035,2.08169,1.59397,0.41755,0.40144,0.33706,0.17703,1.49341,2.47355,1.93671,0.00106613,0.00106613,0.00106613
4,4203.71,1.27201,1.96793,1.58038,0.4457,0.44356,0.41684,0.23687,1.46851,2.39379,1.90279,0.00104501,0.00104501,0.00104501
5,5238.51,1.23008,1.84434,1.54134,0.67206,0.55778,0.61751,0.39836,1.26176,1.72869,1.69123,0.00102301,0.00102301,0.00102301
6,6283.99,1.18645,1.73758,1.51234,0.66713,0.55769,0.62652,0.39502,1.25312,1.63665,1.66848,0.00100101,0.00100101,0.00100101
7,7322.54,1.15701,1.63348,1.48124,0.74424,0.64949,0.72235,0.49392,1.1384,1.42073,1.56713,0.000979013,0.000979013,0.000979013
8,8367.81,1.12155,1.59111,1.45987,0.75826,0.65502,0.74766,0.53071,1.10152,1.29798,1.53836,0.000957015,0.000957015,0.000957015
9,9403.91,1.099,1.51912,1.44058,0.77779,0.68,0.75476,0.52865,1.12558,1.28554,1.60216,0.000935018,0.000935018,0.000935018
10,10453.6,1.08374,1.50882,1.43283,0.81095,0.70833,0.78953,0.57,1.04004,1.15781,1.47747,0.00091302,0.00091302,0.00091302
11,11488.2,1.06472,1.45137,1.41971,0.78502,0.69316,0.7751,0.56631,1.03351,1.14671,1.4694,0.000891022,0.000891022,0.000891022
12,12530.2,1.04384,1.3949,1.39968,0.82296,0.7074,0.79332,0.58061,1.0149,1.13996,1.4564,0.000869024,0.000869024,0.000869024
13,13562.7,1.03179,1.36504,1.38635,0.81913,0.73669,0.81393,0.60594,1.00826,1.07777,1.4473,0.000847026,0.000847026,0.000847026
14,14605.1,1.0235,1.34718,1.38671,0.8073,0.72235,0.80594,0.59855,0.97169,1.13147,1.40435,0.000825029,0.000825029,0.000825029
15,15637,1.00017,1.32506,1.36985,0.83501,0.72435,0.80868,0.59622,1.00889,1.05339,1.42303,0.000803031,0.000803031,0.000803031
16,16679.1,1.00196,1.30114,1.3706,0.84496,0.76305,0.83534,0.62236,0.98412,0.99779,1.40885,0.000781033,0.000781033,0.000781033
17,17710.9,0.98117,1.27407,1.35721,0.85173,0.72484,0.81648,0.61994,0.95504,1.05354,1.38606,0.000759035,0.000759035,0.000759035
18,18753.3,0.96813,1.23981,1.34911,0.8684,0.74755,0.84664,0.644,0.93611,0.9322,1.36461,0.000737037,0.000737037,0.000737037
19,19785.9,0.96257,1.22106,1.33584,0.86467,0.76379,0.84356,0.63457,0.96027,0.96247,1.3774,0.00071504,0.00071504,0.00071504
20,20827.5,0.95572,1.19793,1.33357,0.86367,0.74733,0.84379,0.64511,0.93561,0.92946,1.3481,0.000693042,0.000693042,0.000693042
21,21858.4,0.95613,1.18964,1.33423,0.86298,0.76322,0.85216,0.6556,0.91989,0.90644,1.34297,0.000671044,0.000671044,0.000671044
22,22903.1,0.92495,1.13515,1.3137,0.86701,0.76519,0.85631,0.66044,0.89923,0.89165,1.3233,0.000649046,0.000649046,0.000649046
23,23941.9,0.92737,1.1302,1.31412,0.87687,0.77242,0.86259,0.67151,0.89299,0.85208,1.31797,0.000627048,0.000627048,0.000627048
24,24987.3,0.93135,1.14785,1.31711,0.84295,0.78384,0.86,0.67281,0.88174,0.86749,1.30441,0.000605051,0.000605051,0.000605051
25,26018.1,0.91238,1.11298,1.3042,0.88728,0.77012,0.86452,0.67817,0.87343,0.84749,1.3057,0.000583053,0.000583053,0.000583053
26,27061.2,0.9165,1.09707,1.30203,0.87927,0.77382,0.86753,0.68061,0.86216,0.83408,1.29064,0.000561055,0.000561055,0.000561055
27,28092.7,0.90136,1.09971,1.29399,0.85919,0.79129,0.87366,0.68435,0.87375,0.82546,1.28372,0.000539057,0.000539057,0.000539057
28,29133.8,0.89985,1.06652,1.28844,0.85521,0.81067,0.87679,0.69203,0.84513,0.79728,1.27257,0.000517059,0.000517059,0.000517059
29,30164.1,0.89467,1.05193,1.28586,0.88781,0.78116,0.8753,0.68635,0.85211,0.80907,1.27717,0.000495062,0.000495062,0.000495062
30,31205.8,0.87932,1.02423,1.27248,0.8694,0.82401,0.88751,0.6954,0.85792,0.77093,1.27679,0.000473064,0.000473064,0.000473064
31,32237.2,0.86821,1.00629,1.26714,0.88012,0.80355,0.88067,0.69308,0.83622,0.77709,1.26977,0.000451066,0.000451066,0.000451066
32,33278.7,0.88134,1.00586,1.2707,0.89375,0.80354,0.88431,0.70439,0.82344,0.75474,1.24738,0.000429068,0.000429068,0.000429068
33,34309.2,0.86141,0.9931,1.26781,0.89567,0.80429,0.88402,0.70708,0.82463,0.75731,1.24981,0.00040707,0.00040707,0.00040707
34,35350.1,0.85907,0.98076,1.26391,0.87635,0.80778,0.88112,0.70583,0.81808,0.75712,1.24364,0.000385073,0.000385073,0.000385073
35,36381,0.85018,0.95977,1.24901,0.87455,0.79147,0.88324,0.69881,0.83413,0.74898,1.2501,0.000363075,0.000363075,0.000363075
36,37422,0.83764,0.95994,1.2454,0.87497,0.81704,0.88639,0.70579,0.82102,0.7371,1.23935,0.000341077,0.000341077,0.000341077
37,38451.9,0.82523,0.93604,1.23918,0.88835,0.81333,0.8925,0.71165,0.81558,0.70852,1.23092,0.000319079,0.000319079,0.000319079
38,39493.6,0.83359,0.92855,1.24171,0.88099,0.82526,0.88777,0.71415,0.8118,0.71487,1.22944,0.000297081,0.000297081,0.000297081
39,40522.8,0.82293,0.91264,1.23782,0.87772,0.81982,0.88899,0.71518,0.80372,0.71739,1.22396,0.000275084,0.000275084,0.000275084
40,41564.9,0.81854,0.91741,1.23257,0.87949,0.81709,0.88834,0.7184,0.80754,0.71707,1.23183,0.000253086,0.000253086,0.000253086
41,42580.3,0.71412,0.67866,1.20418,0.89406,0.81985,0.88863,0.72181,0.7853,0.69864,1.21135,0.000231088,0.000231088,0.000231088
42,43605.6,0.69769,0.63429,1.18949,0.89487,0.82114,0.8948,0.73168,0.76657,0.67807,1.19397,0.00020909,0.00020909,0.00020909
43,44620.5,0.68495,0.61323,1.17561,0.89285,0.83077,0.90295,0.73825,0.75864,0.66006,1.18539,0.000187092,0.000187092,0.000187092
44,45644.4,0.67664,0.59498,1.16518,0.90852,0.8188,0.90123,0.74087,0.74969,0.65406,1.17786,0.000165095,0.000165095,0.000165095
45,46659.4,0.66178,0.58463,1.15876,0.88238,0.84379,0.90504,0.74246,0.74743,0.63666,1.1699,0.000143097,0.000143097,0.000143097
46,47684.3,0.66233,0.57626,1.15833,0.89691,0.82953,0.90358,0.74296,0.75029,0.64114,1.16865,0.000121099,0.000121099,0.000121099
47,48699.1,0.65297,0.55817,1.15084,0.88432,0.83299,0.90224,0.74341,0.74209,0.63931,1.16157,9.91012e-05,9.91012e-05,9.91012e-05
48,49722.7,0.63978,0.55199,1.13733,0.91164,0.82287,0.90258,0.74521,0.73775,0.62993,1.15997,7.71034e-05,7.71034e-05,7.71034e-05
49,50737.8,0.63695,0.54596,1.13917,0.91095,0.82699,0.9063,0.74825,0.73674,0.62687,1.15766,5.51056e-05,5.51056e-05,5.51056e-05
50,51761.9,0.63181,0.53307,1.13447,0.89342,0.84043,0.90608,0.75103,0.73372,0.62283,1.15512,3.31078e-05,3.31078e-05,3.31078e-05
